Name,Title,Company
Keith DePari,"Vice President Regulated Industries, HCM Cloud North America",Oracle
Keith Newstadt,Engineering Director - Consumer Identity,Microsoft
Kelly Welch,Senior Vice President of Sales,Rollstack
Ken Beall,"Founder, University of California",Irvine - UCI Beall Applied Innovation
Ken Crovetti,Business Development for SAP,Vertex
Ken Ferguson,Vice President of North American Planning,Workday
Ken Sims,,
Kenneth Jakobsen,"Chief Customer Officer Europe, Middle East & Africa",Salesforce
Kenny ODonnell,,
Keri Brooke,CMO,Enverus (Quip)
Kes Thygesen,Co-founder & Chief Product Officer,ChangeEngine
Kevin Francis,,
Kevin Gori,Principal,Aegis Intel
Kevin Guthrie,Executive Vice President of Sales,Alight Solutions
Kevin Haverty,"Board Member, Sprinklr (former CRO",ServiceNow)
Kevin Hu,Data Observability,Datadog
Kevin Knieriem,President,Clari
Kevin Kotecki,CRO,Tailscale
Kevin Kriebel,"Senior Vice President, Global Partnerships",Drata
Kevin Meagher,Head of Enterprise Sales - US,Stripe
Kevin Rasmussen,"Senior Director, Field Engineering",Databricks
Kim Peretti,CCO,Restaurant365
Kim Walsh,CEO & Co Founder,harper ventures
Kirsten Newbold-Knipp,COO,Red Oak
Kris Nielsen,Enterprise Sales Executive,Amazon web Services
Kristen Kenny,Chief People Officer,Tripleseat
Kristi Faltorusso,CCO,ClientSuccess
Kristina McMillan,CEO,Argyle Earth
Kurt Bilafer,COO,Trade Ledger
Kyle Larrow,"Senior Account Manager, AI/ML Startups",Amazon Web Services (AWS)
Kyle Norton,CRO,Owner
Kyle Porter,Founder,Salesloft
Lana Lee,"Vice President, Revenue Operations",Checkr
Larry D'Angelo,Chief Revenue Officer,DigitalOcean
Lars Christensen,,
Laura Heisman,CMO,Dynatrace
Laura Hibben,Vice President of Revenue Marketing,Grammarly
Laura-Elizabeth Ware,"Senior Vice President, HCM Cloud and AI Agents, North America",Oracle
Lauren Chacon,CRO,HCSS
Lauren Vaccarello,CMO,WEKA
Laurent Castaillac,,
Lawrence Schwartz,CMO,MROPLAN.ai
Layne Devereaux,,
Leela Srinivasan,CEO,Parity
Lesley Young,CRO,Sprout Social
Lexi Bohonnan,Managing Director,Roam
Lexi Bohonnon,CRO,Roam
Lindsay Johnston,,
Liza Rothschild,Vice President of Sales,Workday
Lou Haidous,Owner,Jitix Holdings
Lou Meshulam,,
Lou Shipley,Senior Lecturer,Harvard Business School
Louis Lebbos,Founder,AstroLabs
Luanne Tierney,CMO,Mission Cloud
Lucas Price,Founder and CEO,Yardstick
Luis Tong,Founding Head of Sales,Reducto
Madan Gadde,CCO,Fireblocks
Maha Pula,"Vice President, Global Sales Engineering",Fastly
Mahesh Gidwani,Chief Customer Officer,Apptio
Mahesh Thakur,Leadership Coach,AHA Academy of High Achievers Executive and Leadership Coaching for the C-Suite and Leadership Team
Mahshid Pirzadeh,,
Manu Kapoor,Head of Global GTM Strategy & Operations,Asana
Marc Huffman,CEO,OnBoard
Marcel Lotufo Soares,,
Marcus Jewell,CRO,Cellebrite
Marie Michele Caron,CRO,Tempo Software
Mark Ebert,Senior Vice President Revenue,Profound
Mark Gittleman,,
Mark Hardy,Head of Revenue Operations,depthfirst
Mark Kilens,Vice President of Marketing; Founder,EasyLlama; TACK
Mark Nix,,
Mark Pennington,,
Mark Stevens,Vice President - Customer and Market Strategy,Automation Anywhere
Mark Wayland,Outgoing CRO/Advisor,Box
Martin Moran,,
Mary-Beth Donovan,,
Mathew Gray,Counsel,Alston & Bird
Matt Benelli,Co-Founder,CoachEm
Matt Breslin,"President, North America",IFS
Matt Cooley,Founder,Bounti.ai
